platformTopSmallBallJointHoleDim,mm,13.2 mm,
ballBearingWrapperTubeThickness,mm,2 mm,
stockThickness,mm,9.6 mm,
baseHeight,mm,7.5 mm,
screwsCenterDistance,mm,22 mm,
baseLength,mm,screwsCenterDistance + screwHeadDiam + 3 mm,
smallBallJointCenterFromGround,mm,13.15 mm,
screwHoleDiam,mm,3.5 mm,
screwHeadDiam,mm,6 mm,
screwHeadHeight,mm,2 mm,
smallBallJointHeight,mm,4 mm,
linkStockHeight,mm,12.8 mm,
linkWidth,mm,9.4 mm,
linkHoleCenterDistance,mm,41 mm,
linkBallJoinInsertDiam,mm,8.1 mm,
linkBallInsertHeight,mm,6.8 mm,
linkClearanceHeigt,mm,1 mm,
toolDiameter,mm,2 mm,
boxRodDiam,mm,6.3 mm,
boxRodCenterFromGround,mm,14.5 mm,
boxBaseHeight,mm,18.7 mm,
bigBallJointCenterFromGround,mm,13 mm,
bigBallJointHeight,mm,7 mm,
platformTopBigBallJointHoleDim,mm,22 mm - 1 mm,
d142,mm,stockThickness,
d143,deg,0.0 °,
d12,mm,baseLength,
d13,mm,baseHeight,
d14,mm,platformTopSmallBallJointHoleDim,
d16,mm,bigBallJointCenterFromGround,
d17,mm,platformTopSmallBallJointHoleDim - 4 mm,
d159,mm,platformTopSmallBallJointHoleDim + 6 mm,
d18,mm,smallBallJointHeight + 0.2 mm,
d19,deg,0.0 °,
d93,mm,stockThickness - smallBallJointHeight - 0.2 mm,
d20,mm,stockThickness,
d21,deg,0.0 °,
d22,mm,screwHoleDiam,
d29,mm,stockThickness / 2,
d109,mm,screwsCenterDistance,
d110,mm,screwHeadDiam,
d111,mm,baseLength / 2,
d27,mm,-baseHeight,
d28,deg,0.0 °,
d31,mm,-baseHeight,
d32,deg,0.0 °,
d33,mm,-baseHeight,
d34,deg,0.0 °,
d35,mm,-screwHeadHeight,
d36,deg,0.0 °,
d37,mm,-screwHeadHeight,
d38,deg,0.0 °,
d39,mm,-baseHeight,
d40,deg,0.0 °,
d101,mm,stockThickness,
d102,deg,0.0 °,
d154,,1,
d155,mm,0.6 mm,
d45,mm,stockThickness + 0.3 mm,
d46,mm,1.2 mm,
d47,mm,2.2 mm,
d49,mm,( baseLength - screwsCenterDistance ) / 2,
d59,mm,stockThickness,
d60,mm,( stockThickness + 0.2 mm ) / 2,
d51,mm,3 mm,
d52,deg,0.0 °,
d53,mm,6 mm,
d54,deg,0.0 °,
d55,mm,stockThickness,
d56,deg,0 °,
d67,mm,linkHoleCenterDistance + linkBallJoinInsertDiam + 2 mm,
d68,mm,linkWidth,
d69,mm,linkBallJoinInsertDiam,
d70,mm,linkWidth / 2,
d71,mm,linkHoleCenterDistance,
d72,mm,2.01 mm,
d94,mm,10 mm,
d73,mm,linkStockHeight - linkBallInsertHeight,
d74,deg,0.0 °,
d75,mm,linkStockHeight,
d76,deg,0.0 °,
d77,,1,
d78,mm,1 mm,
d97,,1,
d98,mm,1 mm,
d99,,1,
d100,mm,1 mm,
d95,mm,linkStockHeight - linkBallInsertHeight + 0.8 mm,
d96,deg,0.0 °,
d119,mm,baseLength,
d124,mm,boxRodDiam,
d128,mm,boxRodCenterFromGround,
d129,mm,baseHeight,
d141,mm,3 mm,
d150,mm,7 mm,
d151,mm,8.741394 mm,
d130,mm,stockThickness,
d131,deg,0.0 °,
d132,mm,baseLength / 2,
d133,mm,stockThickness / 2,
d134,mm,screwHoleDiam,
d135,mm,screwHeadDiam,
d136,mm,screwsCenterDistance,
d137,mm,-baseHeight,
d138,deg,0.0 °,
d139,mm,-screwHeadHeight,
d140,deg,0.0 °,
d144,mm,stockThickness,
d145,deg,0.0 °,
d148,,1,
d149,mm,0.6 mm,
d152,,1,
d153,mm,4 mm,
